noun	verb	frequency
project	is	850
it	is	715
activities	are	177
they	are	166
sector	is	165
it	has	153
project	has	130
agriculture	is	125
impacts	are	118
component	is	116
it	was	108
bank	has	99
project	are	95
implementation	support	88
country	has	74
water	use	74
country	is	73
area	is	72
production	is	69
women	are	69
sector	has	65
activities	related	59
i	am	58
system	is	58
project	was	54
farmers	are	50
cost	is	49
they	have	49
%	increase	48
costs	are	48
bank	is	47
project	support	45
they	relate	43
investments	are	42
systems	are	42
%	are	39
areas	are	37
component	are	35
they	were	35
services	are	32
development	is	31
sector	are	31
projects	are	30
agriculture	has	29
project	related	28
services	provided	28
%	is	27
activities	is	26
management	is	25
project	financed	25
project	include	25
bank	financed	24
investment	support	24
areas	have	23
capacity	building	23
it	contributes	23
projects	financed	23
services	financed	23
women	have	23
activities	provided	22
implementation	is	22
projects	have	22
water	is	22
activities	supported	21
chains	are	21
activities	including	20
areas	is	20
bank	support	20
it	includes	20
production	has	20
support	is	20
activity	included	19
component	includes	19
activities	have	18
markets	are	18
services	is	18
them	are	18
area	has	17
components	are	17
development	support	17
management	are	17
project	provides	17
project	requiring	17
support	provided	17
activities	implemented	16
activities	include	16
farmers	have	16
it	supports	16
project	supports	16
sector	contributes	16
%	have	15
activities	financed	15
capacity	is	15
impacts	include	15
investments	made	15
it	provides	15
sector	was	15
sectors	are	15
support	increased	15
system	has	15
they	include	15
project	builds	14
project	contributes	14
sectors	is	14
agriculture	are	13
areas	developed	13
costs	have	13
farmers	is	13
impact	is	13
investment	is	13
its	support	13
management	support	13
production	support	13
system	based	13
value	is	13
women	is	13
area	are	12
capacity	strengthening	12
country	are	12
project	have	12
project	includes	12
activities	included	11
component	has	11
country	was	11
development	finance	11
impacts	related	11
its	use	11
project	supported	11
sector	include	11
activities	proposed	10
activity	is	10
areas	were	10
capacities	are	10
capacity	has	10
development	are	10
implementation	are	10
investments	have	10
markets	is	10
sector	have	10
system	was	10
activities	were	9
agriculture	finance	9
i	m	9
implementation	including	9
production	base	9
projects	is	9
values	set	9
%	being	8
bank	supported	8
chains	is	8
costs	include	8
countries	have	8
farmers	using	8
production	increased	8
project	including	8
