entity	type	frequency
bank	ORG	2046
adb	ORG	1917
ifad	ORG	1772
borrower	ORG	1532
loan	ORG	759
esmf	ORG	345
africa	LOC	319
ida	ORG	253
adf	ORG	250
the world bank	ORG	242
world bank	ORG	237
piu	ORG	234
fao	ORG	222
ua	ORG	219
program	ORG	216
op	PERSON	212
government	ORG	201
af	ORG	184
tadb	ORG	178
rpf	GPE	177
india	GPE	173
vii	ORG	170
cooperatives	ORG	167
the project executing agency	ORG	164
eu	ORG	163
category	PERSON	162
emp	ORG	156
sps	ORG	154
kenya	GPE	149
niger	ORG	146
the ministry of agriculture	ORG	134
pam	ORG	134
iii	ORG	134
chad	GPE	126
state	ORG	122
liberia	GPE	115
guinea	GPE	113
sudan	GPE	111
morocco	GPE	108
malawi	ORG	107
burkina faso	PERSON	107
tanzania	GPE	106
angola	GPE	106
nigeria	GPE	103
haiti	GPE	102
cpf	ORG	102
csp	ORG	98
psc	ORG	97
ethiopia	GPE	97
girsal	ORG	96
burundi	GPE	96
ghana	GPE	95
myanmar	GPE	92
eirr	ORG	92
china	GPE	88
idb	ORG	86
wb	ORG	85
iee	ORG	85
ghg	ORG	85
mali	GPE	83
gef	ORG	83
gap	ORG	82
argentina	GPE	82
uganda	GPE	80
afghanistan	GPE	79
o&m	ORG	77
lesotho	PERSON	77
rwanda	GPE	76
goods	PERSON	75
err	ORG	75
the executive board	ORG	73
world bank document	ORG	72
wfp	ORG	72
sierra leone	ORG	71
international waterways op/bp	ORG	71
cps	ORG	71
benin	ORG	71
fund	ORG	70
ta	ORG	69
rap	ORG	69
pcn	ORG	69
somalia	GPE	68
zambia	GPE	67
senegal	GPE	64
paraguay	GPE	64
pid/isds	ORG	63
usd	ORG	62
vii	ORG	61
the agreement establishing ifad	ORG	60
rp	ORG	60
the executive board	ORG	59
peoples op/bp	ORG	58
pakistan	GPE	58
esmp	ORG	58
drc	ORG	58
balochistan	GPE	58
cameroon	LOC	57
c. proposed development	PERSON	57
irr	ORG	56
e. risk	PERSON	56
the european union	ORG	55
togo	GPE	54
ifc	ORG	54
farmers	ORG	54
ifad cooperating	ORG	53
bolivia	GPE	53
appendix	GPE	53
vi	PERSON	51
ppf	ORG	51
namsip	ORG	51
minagri	ORG	51
eur	GPE	51
rcn	ORG	50
punjab	GPE	50
maharashtra	ORG	50
the ministry of finance	ORG	49
turkey	GPE	49
senacsa	ORG	49
pim	ORG	49
mauritania	GPE	49
united states	GPE	48
senasag	ORG	48
kanayo f. nwanze	PERSON	48
disputed areas op/bp	ORG	48
c. planning	PERSON	48
serbia	GPE	47
promifa	ORG	47
brazil	GPE	47
afd	GPE	47
yemen	GPE	46
namibia	GPE	46
gom	ORG	46
d. financial	ORG	46
badf	ORG	46
the african development bank	ORG	45
lessons	ORG	45
gafsp	ORG	44
asian development bank	ORG	44
us	GPE	43
undp	ORG	43
tcep	GPE	43
moldova	GPE	43
land bank	ORG	43
guyana	GPE	43
ffs	ORG	43
cgiar	ORG	43
ucar	ORG	42
sahel	GPE	42
scd	ORG	42
pse	ORG	42
north	LOC	42
ipp	ORG	42
the executing agency	ORG	41
samoa	GPE	41
prospera	GPE	41
mozambique	GPE	41
latin america	LOC	41
firr	ORG	41
boké	PERSON	41
appendix 4	ORG	41
this loan agreement	ORG	40
pid	ORG	40
pdcv-riz	ORG	40
mcrp	ORG	40
cerc	ORG	40
the world bank	ORG	39
padaam	ORG	39
masa	ORG	39
m&e	ORG	39
got	ORG	39
works	ORG	37
west africa	GPE	37
pmp	ORG	37
montenegro	GPE	37
moa	ORG	37
environmental and	ORG	37
uruguay	GPE	36
usaid	GPE	36
tsf	PERSON	36
kp	ORG	36
i.	ORG	36
eia	ORG	36
c. components/	PERSON	36
a. programme	PERSON	36
the bank group	ORG	35
waemu	ORG	35
sa	ORG	35
odisha	GPE	35
marndr	ORG	35
loan agreement	ORG	35
ipm	ORG	35
dwr	ORG	35
consulting services	ORG	35
board	ORG	35
basic project data ops table country project id parent project id	ORG	35
the loan agreement	ORG	34
total	ORG	34
philippines	GPE	34
feed africa	ORG	34
earf	ORG	34
b. programme	ORG	34
the lake chad region	LOC	33
nut	ORG	33
uzbekistan	GPE	33
subproject	ORG	33
south sudan	GPE	33
rice	PERSON	33
ipmp	ORG	33
congo	GPE	33
cambodia	GPE	33
bank group	ORG	33
appraisal stage pid/isds	ORG	33
honduras	GPE	32
ecuador	GPE	32
diffa	GPE	32
the project management unit	ORG	31
the african development fund	ORG	31
taat	ORG	31
operating regulations	ORG	31
oie	ORG	31
guinea-bissau	PERSON	31
safeguards a.	PERSON	30
rural development	ORG	30
rplp	ORG	30
mofa	ORG	30
mifa	ORG	30
inra	ORG	30
b. borrower’s	PERSON	30
the board of directors	ORG	29
vietnam	GPE	29
sri lanka	GPE	29
schedule	PERSON	29
