verb	frequency
is	12033
be	11949
are	6704
has	3779
have	3391
including	2656
been	2404
based	1980
was	1681
include	1608
ensure	1598
support	1558
proposed	1493
improve	1416
provide	1292
expected	1174
following	1156
increase	1115
increased	1016
related	976
were	963
financed	942
set	926
improving	904
implemented	863
estimated	834
existing	815
contribute	805
used	798
prepared	785
supported	760
selected	756
improved	745
provided	730
promote	721
developed	721
identified	713
finance	711
strengthen	699
established	693
made	683
strengthening	673
required	614
reduce	596
using	595
targeted	594
help	591
implementing	590
increasing	580
supporting	548
being	542
included	538
approved	538
enhance	537
address	532
means	518
develop	488
given	485
carried	484
agreed	477
promoting	457
needed	447
includes	447
implement	431
make	427
does	425
associated	420
build	415
conducted	412
triggered	407
according	405
take	399
facilitate	397
providing	388
considered	382
remains	377
continue	376
aims	368
affected	359
involved	353
aligned	353
developing	352
building	350
benefit	349
do	348
reducing	340
updated	338
meet	332
defined	331
designed	329
adopted	328
enhancing	325
disclosed	324
lead	312
identify	312
focus	307
reports	303
enable	302
ensuring	300
create	300
taken	290
prepare	290
added	289
submitted	287
compared	286
manage	285
establish	283
require	282
generate	280
cause	279
created	277
climate	275
integrated	274
provides	271
led	271
cover	271
achieve	266
managed	262
see	260
use	258
funded	257
financing	249
driven	248
located	243
presented	241
making	241
mitigate	237
enabling	237
undertaken	234
participating	234
trained	233
generated	233
planned	232
described	232
aimed	230
allocated	229
working	228
cost	228
learned	225
achieved	224
known	223
executing	223
strengthened	222
need	222
completed	222
allow	218
creating	217
remain	216
growing	216
receive	212
specified	210
work	209
had	209
establishing	209
resulting	208
follows	204
addressing	202
monitoring	200
limited	198
determined	198
applied	198
apply	197
reduced	196
describe	190
achieving	188
signed	187
linked	187
did	187
monitor	186
rehabilitated	185
reflected	183
result	178
approve	176
relating	175
managing	175
engaged	174
involve	173
serve	172
supports	171
done	170
disaggregated	170
avoid	170
requires	168
disbursed	167
taking	166
produced	165
produce	165
held	165
become	163
•	162
generating	162
regarding	159
recruited	159
living	159
needs	158
maintain	157
works	156
reach	156
participate	155
operating	155
covering	154
affect	154
carry	153
built	153
reviewed	150
contributing	150
going	149
setting	147
matching	147
classified	147
focusing	146
involving	145
focused	144
designated	144
contributes	143
addressed	143
start	142
put	142
enhanced	142
dated	142
scaling	141
expand	141
adopt	140
boost	139
target	138
leading	138
incorporated	138
having	138
targeting	136
preparing	136
disputed	136
procured	134
facilitating	134
anticipated	134
guide	132
assess	132
received	131
emerging	131
amended	131
headed	130
