unigram	frequency
project	17973
will	17025
development	7242
management	6368
agricultural	6093
agriculture	4806
support	4736
sector	4524
bank	4490
implementation	3983
activities	3962
loan	3867
million	3772
value	3755
rural	3620
ii	3612
financing	3404
production	3391
component	3387
financial	3280
services	3148
national	2895
climate	2886
borrower	2806
water	2755
government	2753
environmental	2747
food	2741
including	2723
economic	2717
also	2709
capacity	2687
areas	2659
country	2655
social	2592
total	2555
shall	2537
per	2503
access	2479
program	2462
land	2438
programme	2418
women	2388
farmers	2313
iii	2256
resources	2251
us	2223
ifad	2191
procurement	2173
technical	2158
infrastructure	2144
irrigation	2065
policy	2058
percent	2041
monitoring	2023
based	1973
adb	1965
public	1908
poverty	1901
private	1883
amount	1864
market	1852
proposed	1844
plan	1834
growth	1812
ensure	1793
agreement	1754
productivity	1752
system	1747
area	1743
local	1692
level	1663
impacts	1657
cost	1638
projects	1638
finance	1635
use	1633
well	1625
investment	1578
increase	1560
change	1537
include	1529
framework	1525
training	1492
information	1475
key	1460
cent	1459
risk	1453
grant	1433
improved	1428
measures	1428
building	1424
beneficiaries	1422
chains	1412
potential	1410
provide	1409
sustainable	1403
iv	1395
ministry	1394
costs	1393
small	1385
improve	1384
new	1381
chain	1377
terms	1371
systems	1368
world	1361
livestock	1359
year	1357
institutional	1351
investments	1345
high	1326
conditions	1319
sub	1301
following	1296
op	1287
works	1286
people	1272
processing	1270
set	1265
impact	1256
population	1252
strategy	1245
risks	1238
natural	1225
may	1223
number	1212
quality	1192
coordination	1187
date	1179
results	1179
security	1168
gender	1161
regional	1156
expected	1155
business	1152
addition	1149
evaluation	1146
policies	1137
assessment	1136
within	1133
accordance	1132
related	1128
markets	1120
estimated	1117
income	1115
strengthening	1111
report	1099
annual	1088
technologies	1074
rate	1070
increased	1069
years	1063
agency	1047
time	1043
reports	1038
two	1036
agro	1035
specific	1031
approach	1025
youth	1021
environment	1019
international	1014
products	1011
practices	1010
poor	1005
resilience	1004
objective	999
section	996
preparation	995
knowledge	994
fund	994
design	988
account	982
producers	979
households	976
region	972
three	971
groups	967
plans	966
safeguards	957
planning	950
community	948
among	944
one	942
bp	932
table	930
improving	930
communities	926
low	922
health	918
assistance	916
republic	916
financed	916
ua	893
service	893
operation	889
institutions	888
existing	887
main	885
category	881
performance	876
strategic	872
ha	868
due	862
scale	857
components	850
construction	849
term	849
implemented	848
economy	844
procedures	843
period	838
analysis	835
crop	834
implementing	832
sustainability	831
target	830
farm	828
crops	825
schedule	823
mitigation	821
prepared	819
review	815
etc	815
africa	811
contribute	809
group	807
first	804
context	804
goods	795
overall	794
promote	791
part	791
control	789
limited	788
data	787
regulations	784
provided	781
additional	778
audit	777
stakeholders	775
safeguard	771
means	771
employment	771
opportunities	768
integrated	767
process	766
selected	765
operations	761
disbursement	756
research	756
relevant	755
extension	752
farming	751
significant	751
equipment	740
used	740
focus	738
reduction	735
state	734
smallholder	730
indicators	728
supported	727
rice	726
sectors	722
benefits	721
safety	719
governance	719
strengthen	716
nutrition	715
developed	714
average	714
technology	713
facilities	712
countries	711
however	706
staff	705
funds	700
interventions	697
progress	691
work	688
issues	679
arrangements	676
marketing	676
promotion	671
made	669
gdp	666
unit	663
productive	659
levels	655
established	650
establishment	650
particularly	649
physical	648
resettlement	645
identified	638
organizations	638
major	637
responsible	635
fisheries	634
forth	630
help	625
inputs	618
roads	617
expenditure	616
improvement	616
requirements	615
young	612
targeted	610
line	609
increasing	609
contribution	605
supervision	603
objectives	600
reduce	597
credit	597
participation	593
rehabilitation	592
executing	588
needs	588
general	587
action	583
benefit	579
required	576
large	575
supporting	572
enhance	570
proceeds	570
basis	568
capital	567
partners	565
esmf	565
budget	564
medium	562
effective	553
various	552
appraisal	552
resource	552
maintenance	546
better	546
vulnerable	545
address	545
priority	544
need	539
soil	538
higher	534
adaptation	534
agribusiness	532
non	529
provisions	526
lack	525
experience	525
farmer	524
seed	523
actors	522
using	521
adf	521
supply	521
agreed	521
vi	519
board	517
approval	517
standards	516
central	515
especially	515
order	513
interest	511
guidelines	510
special	509
inclusive	507
end	507
operational	505
transformation	505
available	504
applicable	503
result	502
compliance	502
committee	502
provision	499
make	497
human	496
commercial	490
eb	489
studies	489
promoting	488
lessons	486
prior	485
storage	485
develop	485
approximately	485
actions	482
appropriate	482
funding	482
basic	482
livelihoods	481
direct	480
since	479
carried	477
states	476
outcomes	476
internal	475
regions	474
included	474
creation	472
documents	472
adoption	471
usd	470
agencies	470
participatory	469
needed	469
good	468
current	467
summary	466
indigenous	465
trade	465
resilient	464
jobs	464
build	463
important	463
includes	462
long	462
legal	462
enterprises	461
decision	461
given	459
diversification	459
least	458
particular	456
around	456
effectiveness	455
industrial	455
place	455
programs	453
accounting	453
challenges	452
document	449
fully	448
african	447
facilitate	445
operating	445
lead	444
