adjective	noun	frequency
private	sector	834
agricultural	sector	622
financial	management	506
rural	areas	505
agricultural	production	429
-	component	381
agricultural	value	204
-	sector	199
-	projects	198
institutional	capacity	196
rural	development	193
-	food	174
social	impacts	172
agricultural	development	170
-	sectors	169
total	cost	162
public	sector	146
environmental	impacts	135
financial	services	135
total	project	129
private	investment	123
-	country	122
-	project	111
social	management	108
high	value	94
public	services	94
environmental	management	93
technical	support	93
sustainable	development	87
economic	development	86
small	farmers	86
agricultural	activities	82
technical	services	76
institutional	support	75
other	countries	74
other	development	71
-	components	70
public	investment	69
rural	women	69
economic	activities	64
rural	sector	61
-	value	59
financial	support	57
sustainable	management	56
-	supported	54
social	impact	54
economic	activity	53
private	investments	52
social	services	52
potential	impacts	49
agricultural	services	47
public	investments	47
financial	sector	46
environmental	impact	45
other	project	45
specific	activities	39
institutional	capacities	37
social	development	37
sustainable	agriculture	37
regional	development	36
local	development	35
technical	capacity	35
higher	value	33
institutional	development	32
national	development	31
rural	markets	31
total	area	31
other	sectors	30
public	service	30
rural	services	29
-	cost	27
economic	impacts	27
high	cost	27
key	areas	27
new	project	27
other	projects	27
agricultural	projects	26
key	project	26
-	development	25
total	costs	25
poorest	countries	24
regional	markets	24
total	investment	24
potential	impact	23
agricultural	systems	22
key	sectors	22
specific	project	22
-	world	21
agricultural	sectors	21
main	components	21
other	activities	21
private	sectors	21
main	activities	20
-	agriculture	19
agricultural	areas	19
agricultural	markets	19
national	system	19
other	value	19
private	service	19
sustainable	production	19
economic	impact	18
local	markets	18
low	capacity	18
new	activities	18
other	areas	18
key	development	17
local	production	17
other	bank	17
-	support	16
financial	capacity	16
key	activities	16
-	farmer	15
-	management	15
agricultural	water	15
environmental	services	15
new	markets	15
other	service	15
such	activities	15
-	investment	14
agricultural	market	14
annual	production	14
local	costs	14
national	production	14
new	projects	14
total	production	14
agricultural	activity	13
agricultural	investment	13
agricultural	investments	13
key	sector	13
low	value	13
national	project	13
other	world	13
such	impacts	13
technical	service	13
-	production	12
agricultural	service	12
economic	costs	12
other	sector	12
poor	farmers	12
potential	project	12
rural	farmers	12
total	%	12
-	market	11
agricultural	support	11
other	services	11
potential	value	11
small	water	11
specific	areas	11
sustainable	water	11
total	value	11
total	water	11
-	service	10
-	water	10
economic	sectors	10
financial	markets	10
financial	service	10
local	capacity	10
local	food	10
low	cost	10
national	food	10
new	production	10
social	sector	10
social	sectors	10
technical	implementation	10
annual	project	9
high	costs	9
institutional	management	9
local	farmers	9
local	market	9
lower	food	9
new	areas	9
poor	management	9
public	support	9
regional	market	9
specific	investment	9
financial	system	8
national	projects	8
other	water	8
public	management	8
rural	water	8
social	investments	8
specific	investments	8
such	areas	8
such	impact	8
-	bank	7
-	capacity	7
-	system	7
agricultural	values	7
