adjective	frequency
agricultural	5419
rural	2907
financial	2627
economic	2474
other	2310
-	2024
environmental	1972
technical	1952
social	1915
public	1840
private	1703
national	1672
such	1599
local	1482
total	1465
new	1438
key	1298
small	1277
sustainable	1207
high	1195
institutional	1103
natural	1084
specific	1056
regional	1052
annual	969
low	901
more	885
main	852
poor	851
significant	786
potential	781
overall	730
agro	716
improved	698
additional	672
relevant	670
major	667
first	640
responsible	625
young	620
strategic	579
large	575
various	559
limited	559
average	534
international	525
non	523
vulnerable	516
current	513
inclusive	499
available	485
higher	484
productive	475
effective	474
direct	468
important	457
appropriate	447
particular	445
physical	443
medium	435
necessary	427
good	425
due	416
operational	414
commercial	412
different	411
legal	409
fiscal	407
resilient	400
most	400
internal	395
urban	393
long	392
critical	387
better	383
external	378
industrial	376
special	362
domestic	359
several	357
positive	356
strong	355
human	352
same	349
administrative	349
fiduciary	338
competitive	331
satisfactory	328
recent	327
general	319
related	317
subject	314
basic	314
negative	313
smart	312
possible	308
political	307
post	306
weak	304
adverse	303
civil	301
many	298
adequate	292
ongoing	291
female	286
less	282
last	280
efficient	278
applicable	277
likely	267
eligible	267
central	264
consistent	260
sub	254
indigenous	253
similar	252
primary	252
greater	252
second	248
integrated	247
pastoral	244
extreme	243
acceptable	242
agribusiness	239
full	238
disbursement	236
detailed	235
final	234
socio	232
innovative	230
global	229
provincial	222
least	222
lower	221
net	216
regulatory	215
best	215
individual	214
sectoral	209
foreign	208
future	207
structural	203
past	201
irrigated	200
previous	199
respective	192
cultural	192
harvest	188
modern	182
advisory	182
ecological	181
substantial	179
further	178
close	174
multi	170
inter	170
traditional	167
initial	167
independent	167
comprehensive	167
climatic	164
short	162
active	162
real	160
nutritional	158
largest	157
regular	155
organizational	153
moderate	153
professional	152
prior	152
present	152
formal	150
able	150
highest	149
successful	147
sous	146
sensitive	145
original	144
clear	144
essential	142
entire	142
green	141
early	140
third	139
gross	139
equivalent	139
quarterly	137
african	137
macroeconomic	136
severe	135
développement	135
wide	133
participatory	131
indirect	131
few	131
sized	127
own	126
involuntary	126
vocational	125
rapid	124
poorest	123
corporate	122
certain	122
intensive	120
insufficient	119
inadequate	119
technological	118
coastal	118
standard	116
extensive	116
downstream	116
multiple	114
proper	113
micro	113
reliable	112
common	111
watershed	110
timely	110
larger	110
sufficient	108
recurrent	108
northern	108
mid	108
semi	107
viable	105
robust	105
following	105
informal	104
dry	104
solid	103
preliminary	103
enhanced	101
alternative	100
digital	99
optional	98
logical	98
above	98
difficult	96
collective	96
equal	94
conducive	94
separate	93
complementary	93
secondary	92
dependent	92
veterinary	91
considerable	91
présent	90
periodic	88
open	88
manual	88
equitable	88
pre	87
latest	87
free	87
fragile	87
arable	87
temporary	86
sound	86
dedicated	86
profitable	85
shared	84
metric	84
joint	84
baseline	84
subsequent	83
incremental	83
broader	83
organic	82
single	81
renewable	80
minor	80
little	80
geographical	80
diverse	80
aux	80
thematic	79
sub-	79
accessible	79
qualified	77
official	77
solar	76
focal	76
contractual	76
decentralized	75
comparative	75
actual	74
adaptive	73
safe	72
minimum	72
la	72
geographic	72
frequent	72
electronic	72
sustained	71
much	71
irreversible	71
suitable	70
specialized	70
parallel	70
diversified	70
complex	70
relative	69
reduced	69
raw	69
next	69
entrepreneurial	69
ethnic	68
budgetary	68
upstream	66
stable	66
permanent	66
middle	66
lowest	66
territorial	65
marginal	65
male	65
immediate	65
humanitarian	65
functional	65
sanitary	64
managerial	64
broad	64
heavy	63
southern	61
expected	61
stronger	60
rich	60
municipal	60
continuous	60
cold	60
widespread	59
smaller	59
principal	58
fresh	58
chronic	58
seasonal	57
reasonable	57
numerous	57
indicative	57
degraded	57
cross	57
analytical	57
statistical	56
serious	56
pursuant	56
sector	55
prepared	55
old	55
existing	55
communal	55
objective	54
monetary	54
eastern	54
covid-19	54
consolidated	54
longer	53
diagnostic	53
concessional	53
transparent	52
socioeconomic	52
mobile	52
marine	52
exact	52
transformative	51
systematic	51
remote	51
affordable	51
staple	50
top	49
partial	49
governmental	49
ex	49
crucial	49
artisanal	49
acute	49
wholesale	48
sharp	48
practical	48
horticultural	48
great	48
resistant	47
labour	47
favorable	47
vast	46
friendly	46
small-	45
slow	45
senior	45
phytosanitary	45
optimal	45
cumulative	45
spatial	44
only	44
nutritious	44
feasible	44
decent	44
1st	44
simple	43
project	43
associated	43
upper	42
tentative	42
meteorological	42
huge	42
enormous	42
dynamic	42
concrete	42
component	42
advanced	42
vital	41
secure	41
persistent	41
lead	41
double	41
daily	41
term	40
skilled	40
rev.1	40
pro	40
mixed	40
maximum	40
latter	40
dietary	40
demographic	40
biological	40
autonomous	40
responsable	39
interested	39
former	39
agronomic	39
right	38
payable	38
monthly	38
yearly	37
whole	37
western	37
urgent	37
twin	37
riparian	37
ready	37
outstanding	37
inherent	37
healthy	37
favourable	37
consultative	37
willing	36
variable	36
south	36
prev	36
farm	36
durable	36
capable	36
une	35
resettlement	35
intermediate	35
estimated	35
ambitious	35
affected	35
unemployed	34
tropical	34
targeted	34
rigorous	34
multilateral	34
macro	34
cooperative	34
clean	34
audited	34
subproject	33
rainy	33
late	33
inefficient	33
gradual	33
extractive	33
describe	33
armed	33
worth	32
unknown	32
supervisory	32
scarce	32
responsive	32
interim	32
flexible	32
experienced	32
dominant	32
corresponding	32
collaborative	32
border	32
aforementioned	32
unique	31
quantitative	31
promising	31
minimal	31
logistical	31
genetic	31
feeder	31
experimental	31
complete	31
co	31
voluntary	30
unsustainable	30
understandable	30
socio-	30
select	30
scientific	30
nonreimbursable	30
fundamental	30
aquatic	30
ante	30
wider	29
syrian	29
supplementary	29
steady	29
mini	29
hydraulic	29
holistic	29
distinct	29
corrective	29
agropastoral	29
absolute	29
typical	28
satisfied	28
programmatic	28
organized	28
moroccan	28
modest	28
ministerial	28
ment	28
material	28
increased	28
grassroots	28
fric	28
fourth	28
financing	28
departmental	28
consulting	28
conditional	28
competent	28
challenging	28
brief	28
beneficial	28
vertical	27
useful	27
multinational	27
integral	27
hydrological	27
historical	27
greatest	27
fragmented	27
excessive	27
bilateral	27
applied	27
unable	26
tertiary	26
sweet	26
retail	26
red	26
qualitative	26
preventive	26
organisational	26
intense	26
fertile	26
empirical	26
editable	26
concentrated	26
unlikely	25
underway	25
suivi	25
sovereign	25
smooth	25
requisite	25
nationwide	25
montant	25
informed	25
http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=40676386	25
erratic	25
dessous	25
continued	25
abundant	25
volatile	24
valuable	24
rational	24
preparatory	24
perennial	24
normal	24
mountainous	24
massive	24
impressive	24
fifth	24
fair	24
ental	24
easy	24
determined	24
attractive	24
arid	24
aggregate	24
accountable	24
prone	23
presidential	23
populated	23
personal	23
online	23
manageable	23
light	23
legislative	23
instrumental	23
identified	23
familiar	23
disadvantaged	23
democratic	23
continental	23
compliant	23
catalytic	23
transboundary	22
structured	22
steep	22
selected	22
revised	22
remedial	22
remarkable	22
prevalent	22
planned	22
multiplier	22
migrant	22
midw	22
localized	22
intended	22
federal	22
deep	22
conventional	22
constant	22
chemical	22
cadastral	22
big	22
aware	22
adjacent	22
trans	21
round	21
retroactive	21
proposed	21
oil	21
near	21
microfinance	21
live	21
invasive	21
insecure	21
illegal	21
haitian	21
fewer	21
facilitate	21
developed	21
customary	21
comptable	21
biannual	21
ayant	21
anti	21
adult	21
triple	20
tolerant	20
supportive	20
quality	20
parcours	20
guinean	20
focus	20
exclusive	20
enough	20
composante	20
committed	20
coherent	20
bolivian	20
automatic	20
asian	20
agro-	20
academic	20
wet	19
state	19
square	19
sedentary	19
sahelian	19
safeguards	19
ruminant	19
reversible	19
poorer	19
occupational	19
negligible	19
military	19
mean	19
marginalized	19
foster	19
coordinated	19
careful	19
unequal	18
underdeveloped	18
uncontrolled	18
systemic	18
sylvo	18
routine	18
quasi	18
precarious	18
pbas	18
overarching	18
ographic	18
notable	18
l’ensemble	18
ivorian	18
extended	18
endogenous	18
end-2019	18
easier	18
dual	18
contingent	18
congolese	18
conflict	18
conceptual	18
balanced	18
accurate	18
2nd	18
upland	17
untapped	17
unsatisfactory	17
successive	17
soft	17
prosperous	17
problematic	17
postharvest	17
outdated	17
ordinary	17
mechanized	17
maternal	17
mandatory	17
malian	17
lebanese	17
landlocked	17
improper	17
hot	17
generic	17
focused	17
fastest	17
fast	17
extra	17
expensive	17
earlier	17
dem	17
costly	17
bankable	17
backward	17
valid	16
unskilled	16
undisbursed	16
ua	16
sure	16
strict	16
spanish	16
slower	16
shorter	16
representative	16
latin	16
irrigable	16
french	16
faster	16
exogenous	16
educational	16
developmental	16
devastating	16
core	16
constitutional	16
concerned	16
closer	16
cible	16
chadian	16
centralized	16
agrarian	16
violent	15
viii	15
upcoming	15
unstable	15
shallow	15
residual	15
reproductive	15
random	15
quick	15
prudent	15
provisional	15
powered	15
medical	15
mainstream	15
liquid	15
lesser	15
leading	15
excess	15
exceptional	15
european	15
english	15
downward	15
dense	15
coral	15
computerized	15
compatible	15
capacités	15
blue	15
agri	15
wild	14
visible	14
virtual	14
unregulated	14
universal	14
unforeseen	14
unfavourable	14
underserved	14
unchanged	14
unaudited	14
tribal	14
tradable	14
susceptible	14
specialised	14
risky	14
remunerative	14
recipient	14
rb-	14
progressive	14
precautionary	14
partenariat	14
mutual	14
mechanical	14
inappropriate	14
horizontal	14
executive	14
eventual	14
disbursed	14
bulk	14
bottom	14
attributable	14
arabic	14
agroecological	14
accelerated	14
west	13
unreliable	13
uneven	13
ultimate	13
togolese	13
timber	13
stringent	13
stagnant	13
revolving	13
reliant	13
pronounced	13
programme	13
native	13
meaningful	13
judicial	13
irregular	13
ineffective	13
harmonized	13
hard	13
graduate	13
gainful	13
front	13
fishery	13
explicit	13
est	13
cutting	13
constrained	13
consecutive	13
concerted	13
communicable	13
chinese	13
census	13
ample	13
3.2.4	13
weighted	12
unprecedented	12
transformational	12
tight	12
tangible	12
slight	12
sixth	12
safer	12
reverse	12
religious	12
protective	12
prime	12
pertinent	12
landless	12
infectious	12
impactful	12
flat	12
evident	12
epidemiological	12
elderly	12
cultivable	12
cropping	12
credible	12
conservative	12
comité	12
combined	12
caribbean	12
black	12
biggest	12
attainment	12
agri-	12
zoonotic	11
worse	11
varied	11
timeframe	11
subnational	11
statutory	11
standalone	11
senegalese	11
semiannual	11
prospective	11
pregnant	11
predictable	11
p172348	11
occasional	11
objection	11
noteworthy	11
narrow	11
multidisciplinary	11
miscellaneous	11
mauritanian	11
marketed	11
marketable	11
long-	11
lengthy	11
incomplete	11
incluent	11
in-	11
firm	11
fine	11
endemic	11
drip	11
divisional	11
differentiated	11
decentralised	11
conformément	11
co-	11
artificial	11
agronomist	11
year	10
weekly	10
vicious	10
usual	10
upward	10
unpredictable	10
unpaid	10
undiversified	10
underweight	10
underlying	10
tariff	10
sole	10
quantified	10
pronged	10
prolonged	10
proactive	10
preferential	10
potable	10
peaceful	10
paramount	10
out	10
offshore	10
nomadic	10
nigerian	10
neutral	10
multiyear	10
ministère	10
lucrative	10
logistic	10
isolated	10
irish	10
involved	10
infrastructural	10
indian	10
inconsistent	10
impoverished	10
high-	10
habitat	10
forthcoming	10
forested	10
existent	10
ethiopian	10
east	10
destructive	10
côte	10
cumbersome	10
consultancy	10
biophysical	10
bi	10
bad	10
attendant	10
asdu	10
anticipated	10
alternate	10
adapted	10
zonal	9
wooden	9
weaker	9
untreated	9
uncertain	9
true	9
thorough	9
synthetic	9
supplemented	9
socioenvironmental	9
sociocultural	9
simultaneous	9
sexual	9
rudimentary	9
représentant	9
realistic	9
prudential	9
prompt	9
promotional	9
prominent	9
precise	9
oral	9
optimum	9
notamment	9
nivel	9
mitigating	9
medicinal	9
measurable	9
ly	9
liberian	9
investment	9
inra	9
input	9
hygienic	9
halepp	9
gray	9
forward	9
foreseeable	9
finance	9
dramatic	9
dehkan	9
deficient	9
d	9
chief	9
bovine	9
behavioural	9
ancillary	9
afghan	9
zoosanitary	8
waterborne	8
vibrant	8
very	8
urbanized	8
unsuitable	8
uncompetitive	8
uncommitted	8
tripartite	8
surplus	8
support	8
subsidized	8
stunted	8
strengthened	8
stakeholder	8
spare	8
sizeable	8
simplified	8
selective	8
schematic	8
saharan	8
rpdp	8
randomized	8
public-	8
proven	8
projected	8
priority	8
predominant	8
popular	8
pessimistic	8
perishable	8
pastoralist	8
paddy	8
outside	8
otal	8
originaux	8
obsolete	8
nominal	8
methodological	8
median	8
locaux	8
left	8
lasting	8
justified	8
intra	8
inter-	8
ineligible	8
indemnités	8
ideal	8
historic	8
foreseen	8
figurent	8
fed	8
end-2018	8
encouraging	8
déclarant	8
drier	8
drastic	8
de	8
cyclical	8
customized	8
corruption	8
corrupt	8
certified	8
boundary	8
beninese	8
behavioral	8
ational	8
american	8
accrual	8
verifiable	7
vegetable	7
unified	7
unfavorable	7
twofold	7
tunisian	7
tremendous	7
transitional	7
tranche	7
toxic	7
terrestrial	7
tanzanian	7
swiofish	7
supplemental	7
superior	7
subregional	7
stockbreeding	7
societal	7
smallest	7
scalable	7
said	7
régional	7
retained	7
reluctant	7
reimbursable	7
referenced	7
rainfall	7
point	7
permettant	7
passable	7
parliamentary	7
pampa	7
opportunistic	7
northeast	7
nascent	7
multidimensional	7
micro-	7
marshy	7
maldivian	7
like	7
legitimate	7
lateral	7
later	7
known	7
ivoirian	7
insignificant	7
imperative	7
identical	7
humid	7
harsh	7
harmful	7
geotechnical	7
genuine	7
evaluable	7
equipped	7
elite	7
echnical	7
downside	7
deeper	7
curative	7
cubic	7
crude	7
crest	7
contextual	7
consequent	7
comités	7
catchment	7
basin	7
approximate	7
anecdotal	7
allied	7
agrifood	7
absorptive	7
absent	7
≤	6
zambian	6
zaghouan	6
worst	6
visual	6
vegetative	6
vacant	6
unexploited	6
underinvestment	6
unclear	6
unavoidable	6
unallocated	6
transnational	6
trained	6
thin	6
theoretical	6
temporal	6
tailored	6
substantive	6
subsidiary	6
strongest	6
stricter	6
southwest	6
sophisticated	6
sluggish	6
sizable	6
shea	6
serbian	6
sectorial	6
scant	6
rotational	6
regulated	6
re-	6
quantifiable	6
pumped	6
profound	6
procurement	6
pressing	6
precious	6
pragmatic	6
polluted	6
pivotal	6
petty	6
pandemic	6
onsite	6
observed	6
normative	6
mitigative	6
medium-	6
marked	6
maritime	6
manifest	6
level	6
intelligent	6
intake	6
indispensable	6
inaccessible	6
hydrometeorological	6
hybrid	6
heterogeneous	6
hazardous	6
half	6
grevant	6
fold	6
financed	6
farming	6
fallow	6
exhaustive	6
exempt	6
excellent	6
equatorial	6
electric	6
earthen	6
dysfunctional	6
drinkable	6
distributional	6
disseminated	6
displaced	6
discriminatory	6
dire	6
devolved	6
