noun	frequency
project	12227
%	8158
management	4422
development	4412
sector	4270
activities	3777
implementation	3520
production	3199
agriculture	3166
value	3106
support	2720
water	2542
services	2523
country	2506
areas	2469
women	2451
capacity	2441
food	2394
access	2297
i	2268
component	2217
farmers	2214
climate	2170
land	2132
percent	2091
infrastructure	2061
program	1962
financing	1817
resources	1795
growth	1773
projects	1739
system	1738
level	1640
irrigation	1632
procurement	1623
productivity	1600
poverty	1565
impacts	1556
area	1553
monitoring	1492
market	1490
cost	1460
measures	1456
use	1357
training	1343
page	1343
beneficiaries	1328
population	1304
policy	1296
risk	1250
rate	1242
chains	1226
u	1220
investments	1210
systems	1208
investment	1207
technologies	1198
people	1196
change	1185
number	1176
information	1171
year	1167
costs	1137
quality	1125
income	1108
processing	1099
conditions	1092
impact	1090
livestock	1082
iii	1076
risks	1065
addition	1061
evaluation	1052
years	1035
markets	1015
security	1005
loan	1005
products	993
a	991
chain	990
government	981
coordination	980
policies	979
terms	974
programme	971
d	949
preparation	945
business	935
producers	933
-	931
p	930
framework	916
plan	907
resilience	905
practices	899
youth	897
communities	892
gender	890
b	890
results	885
building	875
assistance	861
households	859
approach	858
groups	849
design	846
institutions	822
crops	812
date	809
sectors	808
operation	808
performance	806
indicators	797
analysis	793
knowledge	791
crop	778
stakeholders	762
countries	759
part	758
reports	752
control	749
community	744
environment	743
works	732
sub	727
process	724
economy	724
table	717
term	715
mitigation	715
scale	707
procedures	707
region	702
health	702
opportunities	700
interventions	694
farm	689
plans	687
employment	687
staff	684
issues	683
equipment	682
construction	677
service	671
assessment	670
technology	668
extension	665
research	661
report	660
rice	657
data	647
benefits	646
reduction	643
op	638
accordance	628
strategy	626
facilities	618
period	617
sustainability	616
e	615
levels	614
cent	614
components	608
establishment	607
budget	607
governance	605
operations	603
th	602
target	601
nutrition	600
potential	594
increase	591
objective	587
marketing	582
line	582
participation	581
time	579
account	573
planning	572
rehabilitation	571
funds	571
c	570
promotion	569
a.	568
progress	565
review	564
improvement	562
farming	561
inputs	557
ii	556
safeguard	553
grant	552
goods	551
adoption	549
roads	544
arrangements	538
contribution	535
partners	532
execution	529
objectives	527
supervision	526
supply	524
end	519
safety	516
lack	516
soil	511
experience	511
provision	505
requirements	502
order	500
audit	500
amount	499
usd	498
t	498
v	494
capital	491
basis	490
credit	489
studies	487
creation	485
jobs	482
place	480
work	478
regions	478
challenges	475
ze	474
priority	474
finance	474
lic	473
safeguards	467
actors	464
programs	463
storage	461
organizations	461
resource	460
documents	457
smallholder	456
livelihoods	455
adaptation	452
o	446
seed	443
approval	432
structures	431
diversification	431
agreement	431
lessons	428
farmer	426
transformation	415
per	413
context	411
study	410
prices	410
fisheries	409
skills	408
actions	408
needs	407
document	404
team	401
mechanisms	401
efforts	401
household	400
