corpus,smallholder,^small\Wfarm,^small\Wholder,^small\Wproduce,^small\Wscale,^smaller\Wscale,^small\Wand\Wmedium
author_AFDB-2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
author_AFDB-2016,7.0,0.46,0.0,0.0,0.23,0.0,0.0
author_AFDB-2017,5.36,0.23,0.93,0.0,0.93,0.0,1.4
author_AFDB-2018,3.26,2.56,0.23,0.23,1.86,0.0,0.93
author_AFDB-2019,2.33,0.7,0.0,3.26,1.16,0.0,8.4
author_AFDB-2020,0.7,0.23,0.0,0.0,2.1,0.0,0.0
author_AFDB-2021,8.17,0.0,0.0,0.0,0.0,0.0,0.46
author_ASDB-2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
author_ASDB-2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
author_ASDB-2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0
author_ASDB-2018,0.79,0.0,0.0,0.0,0.79,0.0,0.0
author_ASDB-2019,0.0,2.39,0.0,0.0,0.79,0.0,0.0
author_ASDB-2020,0.0,0.79,0.0,0.0,0.79,0.0,0.0
author_ASDB-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
author_IDB-2015,0.0,1.19,0.0,14.39,5.99,0.0,2.39
author_IDB-2016,0.0,1.19,0.0,4.79,1.19,0.0,15.59
author_IDB-2017,7.19,2.39,0.0,0.0,0.0,0.0,1.19
author_IDB-2018,0.0,14.39,0.0,2.39,3.59,5.99,10.79
author_IDB-2019,0.0,0.0,0.0,0.0,1.19,0.0,0.0
author_IDB-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0
author_IDB-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
author_IFAD-2015,101.58,3.29,0.41,1.64,9.87,0.0,2.46
author_IFAD-2016,68.68,1.64,0.0,0.0,13.16,0.0,2.87
author_IFAD-2017,11.92,0.41,0.0,0.0,1.64,0.0,0.41
author_IFAD-2018,23.44,1.64,0.0,0.82,3.29,0.0,1.64
author_IFAD-2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0
author_IFAD-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0
author_IFAD-2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
author_WORLD-BANK-2015,11.44,0.73,0.55,0.36,2.76,0.0,2.76
author_WORLD-BANK-2016,6.09,1.66,0.55,0.0,2.95,0.0,1.66
author_WORLD-BANK-2017,24.18,4.61,0.92,2.21,14.21,0.0,4.61
